権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-02-25,3823,アクロディア,東2,制度,114.0,1.0,23000.0,1344060000.0,11790000.0,-1.0,4.51,100,0.0,1,23800.0,500.0,0.0,0.0,-1.0,23300.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,3915,テラスカイ,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,4343,イオンファンタジー,東1,制度,1342.0,0.9918032786885246,34300.0,24391770000.0,18175685.543964233,15.9,1.23,100,0.0,1,2600.0,0.0,0.0,0.0,-1.0,7300.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,4645,市進ホールディングス,JQS,制度,320.0,1.0,3300.0,3056280000.0,9550875.0,-1.0,0.85,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,4745,東京個別指導学院,東1,貸借,234.0,1.017094017094017,162500.0,12704190000.0,54291410.25641026,35.44,1.94,100,0.0,1,351100.0,1500.0,180700.0,76600.0,1.94,473700.0,20700.0,116600.0,10800.0,4.06,0.0
2013-02-25,4920,日本色材工業研究所,JQS,制度,960.0,1.0,800.0,1658280000.0,1727375.0,22.35,1.0,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,5018,ＭＯＲＥＳＣＯ,東1,貸借,833.0,0.9867947178871548,8200.0,7095490000.0,8517995.198079232,10.72,0.93,100,0.0,1,13400.0,0.0,5600.0,5000.0,2.39,16900.0,0.0,600.0,0.0,28.17,0.0
2013-02-25,5271,トーヨーアサノ,東2,制度,1650.0,1.0303030303030305,2100.0,2377380000.0,1440836.3636363638,34.42,1.18,100,0.0,1,8400.0,2700.0,0.0,0.0,-1.0,6200.0,300.0,0.0,0.0,-1.0,0.0
2013-02-25,5900,ダイケン,JQS,制度,550.0,1.0,2000.0,3283760000.0,5970472.7272727275,6.0,0.32,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,5982,マルゼン,東2,制度,710.0,0.9929577464788732,7000.0,14043800000.0,19780000.0,6.68,0.65,100,0.0,1,20000.0,0.0,0.0,0.0,-1.0,22000.0,1000.0,0.0,0.0,-1.0,0.0
2013-02-25,6058,ベクトル,東1,制度,158.0,0.9936708860759492,143100.0,5979510000.0,37845000.0,16.21,3.0,100,0.0,1,108900.0,27900.0,0.0,0.0,-1.0,81300.0,1500.0,0.0,0.0,-1.0,0.0
2013-02-25,6086,シンメンテホールディングス,東M,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,6897,ツインバード工業,東2,制度,200.0,1.02,4000.0,1806000000.0,9030000.0,11.97,0.29,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7427,エコートレーディング,東1,貸借,841.0,1.0023781212841856,14100.0,5076730000.0,6036539.83353151,14.24,0.57,100,8.0,1,3000.0,0.0,108800.0,102400.0,0.03,4800.0,0.0,6400.0,1700.0,0.75,8.0
2013-02-25,7485,岡谷鋼機,名1,非制度,4825.0,0.9968911917098444,1700.0,46899000000.0,9720000.0,5.37,0.46,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7512,イオン北海道,東1,貸借,480.0,1.0125,53300.0,15930720000.0,33189000.0,5.24,0.7,100,0.55,1,0.0,0.0,283900.0,210600.0,0.0,8000.0,1800.0,74100.0,22600.0,0.11,0.55
2013-02-25,7514,ヒマラヤ,東1,制度,725.0,1.0,12800.0,8932570000.0,12320786.206896553,7.3,0.7,100,0.0,1,25300.0,5700.0,0.0,0.0,-1.0,20900.0,400.0,0.0,0.0,-1.0,0.0
2013-02-25,7516,コーナン商事,東1,貸借,1112.0,0.9973021582733812,312500.0,38566500000.0,34682104.31654676,5.08,0.46,100,1.5,1,23800.0,3000.0,1407100.0,1095900.0,0.02,53700.0,0.0,328200.0,31000.0,0.16,1.5
2013-02-25,7520,エコス,東1,制度,588.0,0.9948979591836736,10900.0,5732360000.0,9748911.56462585,9.7,0.94,100,0.0,1,1200.0,200.0,0.0,0.0,-1.0,1300.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,7601,ポプラ,東1,貸借,578.0,1.0,12800.0,5803130000.0,10040017.301038062,995.05,0.82,100,0.4,1,4200.0,4100.0,77600.0,67700.0,0.05,5300.0,0.0,10200.0,2100.0,0.52,0.4
2013-02-25,7603,マックハウス,JQS,貸借,859.0,0.9755529685681024,24300.0,13398370000.0,15597636.786961585,5.42,0.83,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7610,テイツー,JQS,貸借,55.0,1.0,49400.0,2895200000.0,52640000.0,11.82,0.53,100,0.0,1,,,,,,,,,,,0.0
